ranking,index,feature,
0.38718534,37,path_rate,
0.14452265,36,hostname_rate,
0.11107753,44,letter_hostname_rate,
0.06777313,32,mi_phishing,
0.06342074,33,mi_normal,
0.0577935,34,domain,rate
0.03751084,14,slash_count,
0.03719931,30,hotname_entropy,
0.03666996,31,path_entropy,
0.03550031,29,url_entropy,
0.03538573,3,domain_len,
0.03497468,35,subdomain_rate,
0.02724668,24,is_SSL,
0.02377293,21,letter_hostname_count,
0.02377289,19,subdirs_count,
0.02055093,5,hostname_len,
0.01594206,1,url_len,
0.01530577,46,symbol_hostname_rate,
0.0143594,39,path_domain_rate,
0.01393984,16,count_dots_in_url,
0.01367658,8,tokens_ave,
0.01320255,38,arguments_rate,
0.01170926,2,subdomain_len,
0.01153538,10,subdomains_tokens_count,
0.01138459,11,domain_tokens_count,
0.01033444,45,digit_hostname_rate,
0.01007166,27,cant_phishing_kw,
0.00925771,7,shortest_len,
0.0091009,6,longest_len,
0.00846137,18,params_query_count,
0.0072143,13,hostname_sp_chars_count,
0.0072143,22,symbol_hostname_count,
0.00721203,17,url_hyphen_count,
0.00710014,4,tld_len,
0.00710014,12,tld_tokens_count,
0.00694436,23,ip_addr,
0.00689632,42,ldl_count,
0.00667179,9,digit_count,
0.00655073,20,digit_hostname_count,
0.00592908,28,cant_legitimate_kw,
0.00508088,43,dld_count,
0.00336211,40,args_domain_rate,
0.00073429,41,args_path_rate,
0.00006154,25,has_exe,
0.00005381,15,unicode_count,
0.00000599,26,port,
