ranking,index,feature
46450.3199,36,hostname_rate
43426.6684,37,path_rate
42021.6153,44,letter_hostname_rate
41646.7618,32,mi_phishing
39557.2011,39,path_domain_rate
39250.8118,33,mi_normal
35201.5757,1,url_len
25441.499,34,domain_rate
21824.8668,14,slash_count
20886.1382,8,tokens_ave
16732.2841,31,path_entropy
14952.04,29,url_entropy
13529.3843,27,cant_phishing_kw
12535.5778,6,longest_len
10716.5871,24,is_SSL
10341.4024,30,hotname_entropy
10044.2465,35,subdomain_rate
8247.8113,3,domain_len
6907.3613,19,subdirs_count
6522.2031,21,letter_hostname_count
5963.6631,5,hostname_len
5328.4907,42,ldl_count
4540.1246,38,arguments_rate
4479.93,46,symbol_hostname_rate
4135.4175,40,args_domain_rate
4082.3353,9,digit_count
3904.883,43,dld_count
3792.7106,16,count_dots_in_url
3716.1848,41,args_path_rate
3279.3191,18,params_query_count
2763.6464,45,digit_hostname_rate
2262.8496,2,subdomain_len
2240.428,11,domain_tokens_count
1321.8568,4,tld_len
1321.8568,12,tld_tokens_count
1181.9255,28,cant_legitimate_kw
1051.4073,20,digit_hostname_count
97.9506,10,subdomains_tokens_count
942.6525,23,ip_addr
616.4525,22,symbol_hostname_count
616.4525,13,hostname_sp_chars_count
612.344,17,url_hyphen_count
534.1286,7,shortest_len
59.0693,26,port
51.052,15,unicode_count
0,25,has_exe
