ranking,index,feature
0.86894,36,hostname_rate
0.763623,44,letter_hostname_rate
0.782945,37,path_rate
0.754814,32,mi_phishing
0.6993,33,mi_normal
0.689797,39,path_domain_rate
0.618781,1,url_len
0.441401,34,domain_rate
0.389652,14,slash_count
0.357604,8,tokens_ave
0.269066,31,path_entropy
0.248731,29,url_entropy
0.224785,27,cant_phishing_kw
0.199445,6,longest_len
0.173485,35,subdomain_rate
0.173242,24,is_SSL
0.158346,30,hotname_entropy
0.1284,3,domain_len
0.10099,19,subdirs_count
0.09623,21,letter_hostname_count
0.089727,42,ldl_count
0.087281,5,hostname_len
0.078752,38,arguments_rate
0.078687,46,symbol_hostname_rate
0.068721,40,args_domain_rate
0.068062,9,digit_count
0.064336,43,dld_count
0.058514,41,args_path_rate
0.05574,16,count_dots_in_url
0.048932,18,params_query_count
0.046229,45,digit_hostname_rate
0.038072,11,domain_tokens_count
0.033306,2,subdomain_len
0.021348,12,tld_tokens_count
0.021348,4,tld_len
0.019114,28,cant_legitimate_kw
0.017362,23,ip_addr
0.017015,20,digit_hostname_count
0.014176,10,subdomains_tokens_count
0.008656,13,hostname_sp_chars_count
0.008656,22,symbol_hostname_count
0.008598,17,url_hyphen_count
0.007568,7,shortest_len
0.001136,26,port
0.000982,15,unicode_count
0,25,has_exe
